month,car class,mdbf
2016-08,R160,281764
2016-08,R188 - CONVERSION,161483
2016-08,R188 - NEW,577083
2016-08,R32,31369
2016-08,R42,31792
2016-08,R46,78707
2016-08,R62,174723
2016-08,R62A,84451
2016-08,R68,116366
2016-08,R68A,114036
2016-07,FLEET,119505
2016-07,R142,149963
2016-07,R142A,54139
2016-07,R143,64107
2016-07,R160,306076
2016-07,R188 - CONVERSION,170859
2016-07,R188 - NEW,573821
2016-07,R32,31889
2016-07,R42,32007
2016-07,R46,80611
2016-07,R62,181356
2016-07,R62A,89411
2016-07,R68,115424
2016-07,R68A,121840
2016-06,FLEET,120313
2016-06,R142,154127
