ServiceDate,DelayCategory,NoofTrains
1/1/2016,Capital Projects,7
1/1/2016,Customers,213
12/1/2015,Weather & Environmental,55
12/1/2015,3rd Party Operations,50
12/1/2015,Capital Projects,3
12/1/2015,Customers,273
12/1/2015,Engineering (Scheduled),25
12/1/2015,Engineering (Unscheduled),138
12/1/2015,Maintenance of Equipment,67
12/1/2015,Other,168
12/1/2015,Police,420
12/1/2015,Special Events,77
12/1/2015,Transportation,20
11/1/2015,Transportation,59
11/1/2015,Special Events,74
11/1/2015,Police,157
11/1/2015,Other,120
11/1/2015,Maintenance of Equipment,156
11/1/2015,Engineering (Unscheduled),153
11/1/2015,Engineering (Scheduled),28
11/1/2015,Customers,280
11/1/2015,Capital Projects,71
11/1/2015,3rd Party Operations,223
11/1/2015,Weather & Environmental,191
10/1/2015,Weather & Environmental,69
10/1/2015,3rd Party Operations,150
10/1/2015,Capital Projects,46
10/1/2015,Customers,372
10/1/2015,Engineering (Scheduled),47
10/1/2015,Engineering (Unscheduled),160
10/1/2015,Maintenance of Equipment,187
10/1/2015,Other,192
10/1/2015,Police,266
10/1/2015,Special Events,75
10/1/2015,Transportation,32
9/1/2015,Transportation,127
9/1/2015,Special Events,128
9/1/2015,Police,196
9/1/2015,Other,107
9/1/2015,Maintenance of Equipment,190
9/1/2015,Engineering (Unscheduled),324
9/1/2015,Engineering (Scheduled),37
9/1/2015,Customers,278
9/1/2015,Capital Projects,35
9/1/2015,3rd Party Operations,493
9/1/2015,Weather & Environmental,60
8/1/2015,3rd Party Operations,152
8/1/2015,Capital Projects,62
8/1/2015,Customers,361
8/1/2015,Engineering (Scheduled),42
8/1/2015,Engineering (Unscheduled),174
8/1/2015,Maintenance of Equipment,250
8/1/2015,Other,214
8/1/2015,Police,188
8/1/2015,Special Events,92
8/1/2015,Transportation,91
8/1/2015,Weather & Environmental,161
7/1/2015,Weather & Environmental,70
7/1/2015,Transportation,153
7/1/2015,Special Events,138
7/1/2015,Police,284
7/1/2015,Other,164
7/1/2015,Maintenance of Equipment,163
7/1/2015,Engineering (Unscheduled),213
7/1/2015,Engineering (Scheduled),24
7/1/2015,Customers,487
7/1/2015,Capital Projects,93
7/1/2015,3rd Party Operations,92
6/1/2015,3rd Party Operations,143
6/1/2015,Capital Projects,61
6/1/2015,Customers,372
6/1/2015,Engineering (Scheduled),33
6/1/2015,Engineering (Unscheduled),130
6/1/2015,Maintenance of Equipment,180
6/1/2015,Other,206
6/1/2015,Police,142
6/1/2015,Special Events,71
6/1/2015,Transportation,48
6/1/2015,Weather & Environmental,86
5/1/2015,Weather & Environmental,16
5/1/2015,Transportation,107
5/1/2015,Special Events,158
5/1/2015,Police,156
5/1/2015,Other,163
5/1/2015,Maintenance of Equipment,152
