remote_station_id,complex_id,station,line_name,division
R284,177.0,CLINTON-WASH AV,C,IND
R285,209.0,FAR ROCKAWAY,A,IND
R286,288.0,MYRTLE-WILLOUGH,G,IND
R287,290.0,CLASSON AVE,G,IND
R288,240.0,7 AV-PARK SLOPE,FG,IND
R289,242.0,FT HAMILTON PKY,FG,IND
R290,324.0,HOUSTON ST,1,IRT
R291,460.0,33 ST/RAWSON ST,7,IRT
R292,443.0,BAYCHESTER AVE,5,IRT
R293,164.0,34 ST-PENN STA,123ACE,IRT
R294,125.0,MORGAN AVE,L,BMT
R295,130.0,WILSON AVE,L,BMT
R296,149.0,163 ST-AMSTERDM,C,IND
R297,627.0,FRANKLIN AVE,ACS,IND
R298,269.0,NORTHERN BLVD,MR,IND
R299,286.0,BROADWAY,G,IND
R300,232.0,2 AVE,F,IND
R301,235.0,YORK ST,F,IND
R302,224.0,57 ST,F,IND
R303,221.0,21 ST,F,IND
R304,329.0,RECTOR ST,1,IRT
R305,328.0,CORTLANDT ST,1,IRT
R306,294.0,238 ST,1,IRT
R307,391.0,138 ST-GR CONC,45,IRT
R308,386.0,MT EDEN AVE,4,IRT
R309,385.0,176 ST,4,IRT
R310,449.0,111 ST,7,IRT
R311,103.0,BOWERY,JZ,BMT
R312,57.0,W 8 ST-AQUARIUM,FQ,BMT
R313,131.0,BUSHWICK AVE,L,BMT
R314,156.0,103 ST,BC,IND
R315,220.0,155 ST,BD,IND
R316,287.0,FLUSHING AVE,G,IND
R317,291.0,CLINTON-WASH AV,G,IND
R318,292.0,FULTON ST,G,IND
R319,223.0,LEXINGTON AVE,F,IND
R320,325.0,CANAL ST,1,IRT
R321,321.0,18 ST,1,IRT
R322,409.0,SPRING ST,6,IRT
R323,441.0,110 ST-CPN,23,IRT
R324,440.0,116 ST,23,IRT
R325,370.0,WHITLOCK AVE,6,IRT
R326,364.0,ZEREGA AVE,6,IRT
R327,457.0,52 ST-LINCOLN,7,IRT
R328,448.0,METS-WILLETS PT,7,IRT
R329,446.0,MORRIS PARK,5,IRT
R330,118.0,3 AVE,L,BMT
R331,150.0,155 ST,C,IND
R332,152.0,135 ST,BC,IND
R333,154.0,116 ST,BC,IND
R334,155.0,CATHEDRL-110 ST,BC,IND
R335,204.0,BEACH 67 ST,A,IND
R336,205.0,BEACH 60 ST,A,IND
R337,206.0,BEACH 44 ST,A,IND
R338,207.0,BEACH 36 ST,A,IND
R339,272.0,36 ST,MR,IND
R340,268.0,65 ST,MR,IND
R341,260.0,75 AVE,EF,IND
R342,280.0,JAMAICA-VAN WYC,E,IND
R343,326.0,FRANKLIN ST,1,IRT
R344,437.0,145 ST,3,IRT
R345,436.0,148 ST-LENOX,3,IRT
R346,606.0,COURT SQ,7,IRT
R347,455.0,69 ST-FISK AVE,7,IRT
R348,133.0,ATLANTIC AVE,L,BMT
R349,134.0,SUTTER AVE,L,BMT
R350,135.0,LIVONIA AVE,L,BMT
R352,100.0,HEWES ST,JM,BMT
R353,99.0,LORIMER ST,JM,BMT
R354,193.0,OXFORD-104 ST,A,IND
R355,194.0,GREENWOOD-111,A,IND
R356,195.0,LEFFERTS BLVD,A,IND
R357,197.0,AQUEDUCT-N CNDT,A,IND
R358,208.0,BEACH 25 ST,A,IND
R359,606.0,COURT SQ-23 ST,EMG,IND
R360,282.0,VAN ALSTON-21ST,G,IND
R361,424.0,PELHAM PARKWAY,25,IRT
R362,423.0,ALLERTON AVE,25,IRT
R363,422.0,BURKE AVE,25,IRT
R364,421.0,GUN HILL ROAD,25,IRT
R365,420.0,219 ST,25,IRT
R366,419.0,225 ST,25,IRT
R367,418.0,233 ST,25,IRT
R368,59.0,9 AVE,D,BMT
R369,60.0,FT HAMILTON PKY,D,BMT
R370,64.0,71 ST,D,BMT
R371,65.0,79 ST,D,BMT
R372,66.0,18 AVE,D,BMT
R373,67.0,20 AVE,D,BMT
R374,68.0,BAY PARKWAY,D,BMT
R375,136.0,NEW LOTS AVE,L,BMT
R376,137.0,EAST 105 ST,L,BMT
R377,98.0,FLUSHING AVE,JM,BMT
R378,97.0,MYRTLE AVE,JMZ,BMT
R379,96.0,KOSCIUSZKO ST,J,BMT
R380,95.0,GATES AVE,JZ,BMT
R381,94.0,HALSEY ST,J,BMT
R382,189.0,GRANT AVE,A,IND
R383,190.0,HUDSON-80 ST,A,IND
R384,191.0,BOYD-88 ST,A,IND
R385,192.0,ROCKAWAY BLVD,A,IND
R386,428.0,174 ST,25,IRT
R387,427.0,E TREMONT AVE,25,IRT
R388,426.0,E 180 ST,25,IRT
R389,425.0,BRONX PARK EAST,25,IRT
R390,71.0,8 AVE,N,BMT
R391,72.0,FT HAMILTON PKY,N,BMT
R392,74.0,18 AVE,N,BMT
R393,75.0,20 AVE,N,BMT
R394,76.0,BAY PKY-22 AVE,N,BMT
R395,77.0,KINGS HIGHWAY,N,BMT
R396,78.0,AVE U,N,BMT
R397,79.0,86 ST,N,BMT
R398,615.0,NEW UTRECHT AVE,ND,BMT
R399,69.0,25 AVE,D,BMT
R400,70.0,BAY 50 ST,D,BMT
R401,114.0,CENTRAL AVE,M,BMT
R402,111.0,SENECA AVE,M,BMT
R403,110.0,FOREST AVE,M,BMT
R404,109.0,FRESH POND ROAD,M,BMT
R405,433.0,JACKSON AVE,25,IRT
R406,432.0,PROSPECT AVE,25,IRT
R407,431.0,INTERVALE-163,25,IRT
R408,430.0,SIMPSON ST,25,IRT
R409,429.0,FREEMAN ST,25,IRT
R411,141.0,PARK PLACE,S,BMT
R412,626.0,BOTANIC GARDEN,S2345,BMT
R413,113.0,KNICKERBOCKER,M,BMT
R414,198.0,HOWARD BCH-JFK,A,IND
R415,199.0,BROAD CHANNEL,AS,IND
R416,200.0,BEACH 90 ST,AS,IND
R417,201.0,BEACH 98 ST,AS,IND
R418,202.0,BEACH 105 ST,AS,IND
R419,203.0,ROCKAWAY PK 116,AS,IND
R420,244.0,DITMAS AVE,F,IND
R421,246.0,AVE I,F,IND
R422,247.0,22 AVE-BAY PKY,F,IND
R423,248.0,AVE N,F,IND
R424,249.0,AVE P,F,IND
R425,251.0,AVE U,F,IND
R426,253.0,NEPTUNE AVE,F,IND
R427,362.0,MIDDLETOWN ROAD,6,IRT
R428,361.0,BUHRE AVE,6,IRT
R429,360.0,PELHAM BAY PARK,6,IRT
R430,445.0,PELHAM PARKWAY,5,IRT
R431,442.0,DYRE AVE,5,IRT
R432,93.0,CHAUNCEY ST,JZ,BMT
R433,91.0,ALABAMA AVE,J,BMT
R434,90.0,VAN SICLEN AVE,JZ,BMT
R435,89.0,CLEVELAND ST,J,BMT
R436,88.0,NORWOOD AVE,JZ,BMT
R437,87.0,CRESCENT ST,JZ,BMT
R438,182.0,RALPH AVE,C,IND
R439,183.0,ROCKAWAY AVE,C,IND
R440,185.0,LIBERTY AVE,C,IND
R441,186.0,VAN SICLEN AVE,C,IND
R442,187.0,SHEPHERD AVE,C,IND
R443,217.0,170 ST,BD,IND
R444,417.0,NEREID AVE,25,IRT
R445,377.0,138 ST-3 AVE,6,IRT
R446,376.0,BROOK AVE,6,IRT
R447,375.0,CYPRESS AVE,6,IRT
R448,374.0,E 143 ST,6,IRT
R449,373.0,E 149 ST,6,IRT
R450,372.0,LONGWOOD AVE,6,IRT
R451,355.0,WINTHROP ST,25,IRT
R452,313.0,72 ST,123,IRT
R453,228.0,23 ST-6 AVE,FM,IND
R454,30.0,PROSPECT AVE,R,BMT
R455,31.0,25 ST,R,BMT
R456,336.0,HOYT ST,23,IRT
R460,101.0,MARCY AVE,JMZ,BMT
R461,619.0,BROADWAY/LAFAY,BDFQ6,IND
R462,623.0,CANAL ST,JNQRZ6,BMT
R463,623.0,CANAL ST,JNQRZ6,BMT
R464,196.0,AQUEDUCT TRACK,A,IND
R535,198.0,JFK HOWARD BCH,A,IND
R536,278.0,JFK JAMAICA CT1,E,IND
R537,278.0,JFK JAMAICA CT2,E,IND
R570,477.0,72 ST - SECOND AVE,Q,IND
R571,476.0,86 ST - SECOND AVE,Q,IND
R572,475.0,96 ST - SECOND AVE,Q,IND
